"Espacenet";"";"";"";"";"";"";"";"";
"Patentsuche";"";"";"";"";"";"";"";"";
"364 Treffer gefunden für nftxt = ""machine vise"" AND pd <= ""2005-01-01""";"";"";"";"";"";"";"";"";
"Treffer 1 bis 364 angezeigt";"";"";"";"";"";"";"";"";
"Abfragesprache: en / de / fr";"";"";"";"";"";"";"";"";
"Sortierkriterien: Relevanz";"";"";"";"";"";"";"";"";
"";"";"";"";"";"";"";"";"";
"No";"Titel";"Erfinder";"Anmelder";"Veröffentlichungsnummer";"Früheste Priorität";"IPC";"CPC";"Veröffentlichungsdatum";"Früheste Veröffentlichung";"Familiennummer";
"11";"Machine vise protractor";"LENZ JOHN D";"KURT MFG CO";"US4315373A";"1980-02-25";"G01B3/56 
G01B5/24 
G01B3/56 
G01B5/24";"G01B3/563 (EP,US) 
G01B5/24 (EP,US)";"1982-02-16";"1982-02-16";"022415062";
"12";"Machine vise for clamping a workpiece";"ARNOLD FRANZ [DE] 
KREUZER KONRAD [DE]";"ARNOLD FRANZ [DE]";"US5251887A";"1990-06-07";"B25B1/06 
B23Q3/02 
B25B1/06 
B25B1/10 
B25B1/14 
B25B1/18 
B25B1/24";"B25B1/106 (EP,US) 
B25B1/18 (EP,US) 
B25B1/2473 (EP,US)";"1993-10-12";"1991-12-11";"025893917";
"13";"Milling machine vise adjustable angle jaws";"PECK LOREN GARY [US]";"";"US2002109282A1";"2000-12-13";"B25B1/24 
B25B1/24";"B25B1/2442 (EP,US)";"2002-08-15";"2002-08-15";"024965782";
"14";"Collet adapter for converting machine vise to an orthogonal collet fixture";"WENDHACK KURT F [US]";"";"US5462294A";"1994-07-01";"B23B31/20 
B23Q3/06 
B25B1/02 
B23Q3/06";"B23Q3/067 (EP,US) 
Y10T279/17521 (EP,US) 
Y10T279/17529 (EP,US) 
Y10T279/3406 (EP,US)";"1995-10-31";"1995-10-31";"046248656";
"15";"Multi-purpose machine vise";"BERNSTEIN LEON M [US]";"KURT MFG CO [US]";"US5163662A";"1988-06-10";"B23Q3/02 
B25B1/10 
B25B1/22 
B25B1/24";"B25B1/103 (EP,US) 
B25B1/22 (EP,US) 
B25B1/2405 (EP,US) 
B25B1/2478 (EP,US) 
B25B1/2484 (EP,US)";"1992-11-17";"1992-11-17";"026900451";
"16";"Precision machine vise";"GLOMB FRANK A 
GRIFFITH WILLIAM S";"CHICAGO TOOL AND ENGINEERING C";"US4043547A";"1976-12-10";"B23Q3/02 
B25B1/12";"B25B1/125 (EP,US)";"1977-08-23";"1977-08-23";"025012835";
"17";"Multi-purpose machine vise";"BERNSTEIN LEON M [US]";"KURT MFG CO [US]";"US4928937A";"1988-06-10";"B23Q3/02 
B23Q3/06 
B25B1/10 
B25B1/22 
B25B1/24";"B25B1/103 (EP,US) 
B25B1/22 (EP,US) 
B25B1/2405 (EP,US) 
B25B1/2478 (EP,US) 
B25B1/2484 (EP,US)";"1990-05-29";"1989-12-14";"022762295";
"18";"Device for positioning workpieces in a milling machine vise";"RUBERG MARK [US]";"RUBERG MARK [US]";"US5197721A";"1992-06-26";"B23Q3/18 
B23Q16/00";"B23Q16/001 (EP,US)";"1993-03-30";"1993-03-30";"025420197";
"19";"Air cam machine vise";"LEE CHA HEON [KR] 
LEE SOON HUN [KR]";"LEE CHA HEON [KR] 
LEE SOON HUN [KR]";"KR100417073B1 
KR20030062617A";"2002-01-18";"B25B1/08 
B25B1/08";"B25B1/04 (KR) 
B25B1/08 (KR) 
B25B1/106 (KR)";"2003-07-28 
2004-02-05";"2003-07-28";"032218467";
"20";"THREE-JAW MACHINE VISE";"OLSON GUNNAR E";"GUNNAR E OLSON";"US3633900A";"1970-06-19";"B23Q3/06 
B25B1/02 
B25B1/24 
B23Q3/00";"B23Q3/00 (EP,US) 
B23Q2703/00 (EP,US) 
Y10T279/19 (EP,US)";"1972-01-11";"1972-01-11";"021950908";
"21";"Collet adapter for converting machine vise to a collet fixture";"WENDHACK KURT F [US]";"";"US5482300A";"1994-07-01";"B23B31/20 
B23Q3/06 
B25B1/02 
B23Q3/06";"B23Q3/067 (EP,US) 
Y10T279/17529 (EP,US) 
Y10T279/3406 (EP,US)";"1996-01-09";"1996-01-09";"023009759";
"22";"Chuck, in particular machine vise";"ARNOLD FRANZ 
LANAS ANGEL";"ARNOLD FRANZ 
LANAS ANGEL";"US4067560A";"1976-06-14";"B23Q3/08 
B25B1/18";"B25B1/18 (EP,US)";"1978-01-10";"1977-08-01";"006666400";
"23";"MACHINE-VISE.";"KOEPPEN WILLIAM F [US]";"ULRICH EBERHARDT [US]";"US650644A";"1900-01-10";"";"B23Q1/5437 (EP,US)";"1900-05-29";"1900-05-29";"002719214";
"24";"MACHINE-VISE.";"HAMMANN JOHN [US]";"HAMMANN JOHN [US]";"US1060980A";"1912-03-21";"";"B25B1/103 (EP,US) 
Y10T409/309912 (EP,US)";"1913-05-06";"1913-05-06";"003129227";
"25";"MACHINE-VISE.";"KELLEMEN HENRY F [US]";"UTICA DROP FORGE & TOOL COMPANY [US]";"US836116A";"1903-04-07";"";"A61C13/18 (EP,US) 
B25B5/14 (EP,US)";"1906-11-20";"1906-11-20";"002904591";
"26";"Alignment tool for machine vise and the like";"CALAIO SALVATORE [US]";"CALAIO SALVATORE [US]";"US5163664A";"1987-05-04";"B25B1/24 
B25B1/24";"B25B1/2452 (EP,US) 
B25B1/2463 (EP,US) 
B25B1/2494 (EP,US) 
Y10S269/90 (EP,US)";"1992-11-17";"1992-11-17";"027366669";
"27";"Vise jig tool";"JUSTESEN SCOTT F [US]";"JUSTESEN SCOTT F [US]";"US4863151A";"1988-11-18";"B25B1/24 
B25B1/24";"B25B1/24 (EP,US) 
B25B1/2452 (EP,US) 
B25B1/2463 (EP,US)";"1989-09-05";"1989-09-05";"023042378";
"28";"Assembly for use in precision machining";"CHICK JAMES P [US]";"";"US5497980A";"1993-05-17";"B25B1/10 
B25B1/10 
B25B1/24";"B25B1/103 (EP,US) 
B25B1/2405 (EP,US) 
B25B1/2457 (EP,US) 
B25B1/2478 (EP,US)";"1996-03-12";"1996-03-12";"022041394";
"29";"ANGLE FIXING DEVICE, PROCESSING DEVICE EQUIPPED WITH DEVICE, AND ANGLE FIXING METHOD";"YAMAGATA HIDEO 
SAITO MASATOSHI";"RICOH KK";"JP2004098201A";"2002-09-06";"B23C1/06 
B23Q3/04 
B23C1/06 
B23Q3/04";"";"2004-04-02";"2004-04-02";"032262248";
"30";"Multi-diameter vise clamp and collet jaw";"SNELL LLOYD D [US]";"SNELL LLOYD D [US] 
BLY MARK [US] 
GREEN JOSEPH [US] 
VANIK JEFF [US] 
OPDAHL D J [US]";"US6152435A";"1998-07-31";"B25B1/20 
B25B1/20 
B25B1/24";"B25B1/20 (EP,US) 
B25B1/2452 (EP,US)";"2000-11-28";"2000-11-28";"022429010";
"31";"Combination machine vise";"ALEXANDER MASZCZYK";"";"US1558742A";"1923-03-23";"B25B1/20 
B25B1/22 
B25B1/24";"B25B1/20 (EP,US) 
B25B1/22 (EP,US) 
B25B1/2436 (EP,US)";"1925-10-27";"1925-10-27";"024512744";
"32";"VISE";"SCHWEIDLER ERICH";"SAVER ALLMA GMBH ALLGAVER MASC";"US3865360A";"1972-10-25";"B23Q3/06 
B23Q3/06 
B25B1/22";"B23Q3/066 (EP,US)";"1975-02-11";"1974-05-02";"005860005";
"33";"Vise jaw support system and interchangeable vise jaws therefor";"DOSSEY ROBERT L [US] 
COLLINS TRUMAN J [US]";"DOSSEY ROBERT L [US] 
COLLINS TRUMAN J [US]";"US4706949A";"1985-12-17";"B25B1/24 
B25B1/24";"B25B1/24 (EP,US) 
B25B1/2405 (EP,US) 
B25B1/2452 (EP,US)";"1987-11-17";"1987-11-17";"025204928";
"34";"MACHINE VISE";"ARNOLD F";"ARNOLD F";"US3844549A";"1972-05-25";"B25B1/10 
B25B1/24 
B25B1/10 
B25B1/12";"B25B1/10 (EP,US) 
B25B1/125 (EP,US)";"1974-10-29";"1973-12-06";"005845863";
"35";"Flat tongs for high precision machine";"HU SHIMING [CN]";"XIANGPAI MACHINERY CO LTD JIAN [CN]";"CN2430243Y";"2000-07-07";"B23Q3/06 
B23Q3/06";"";"2001-05-16";"2001-05-16";"033602537";
"36";"Steady rest";"GERRY KENNETH L [US] 
MASON W ALFRED [US]";"GERRY KENNETH L 
MASON W ALFRED";"US4216950A";"1979-02-21";"B25B1/24 
B25B1/24";"B25B1/2463 (EP,US) 
B25B1/2494 (EP,US)";"1980-08-12";"1980-08-12";"021757914";
"37";"Flat tongs for machine capable of accurate positioning workpiece";"HU SHIMING [CN]";"XIANGPEI MACHINERY CO LTD JIAN [CN]";"CN2430242Y";"2000-07-07";"B23Q3/06 
B23Q3/06";"";"2001-05-16";"2001-05-16";"033602535";
"38";"Machine vise having guide and holddown means for sliding jaws";"METTLER ARTHUR L";"";"US2480415A";"1947-09-08";"B25B1/10";"B25B1/103 (EP,US)";"1949-08-30";"1949-08-30";"025095851";
"39";"Jaw plate";"GERRY KENNETH L [US]";"GERRY GUY T [US]";"US4573669A";"1985-04-05";"B25B1/24 
B25B1/24";"B25B1/2463 (EP,US)";"1986-03-04";"1986-03-04";"024894283";
"40";"Flat tongs for fast driving/reversing fastening machine";"TANG YUWAN [CN] 
TANG HONGKUN [CN]";"TANG YUWAN [CN]";"CN2461699Y";"2000-11-27";"B23Q3/06 
B23Q3/06";"";"2001-11-28";"2001-11-28";"033601686";
"41";"Static pressure delivery machine-use flat forceps";"XUEQIAO ZOU [CN] 
YIJIAN HUANG [CN] 
ZHU SHISHA [CN]";"UNIV XIANGTAN [CN]";"CN2214258Y";"1994-01-05";"B23Q3/00 
B23Q3/00";"";"1995-12-06";"1995-12-06";"033839073";
"42";"Apparatus for protecting internal elements of a workholding apparatus";"SWANN GEORGE R [US]";"CHICK MACHINE TOOL INC [US]";"US5442844A";"1992-10-01";"B25B1/10 
B23Q3/10 
B23Q3/18 
B25B1/10 
B25B1/24";"B23Q3/103 (EP,US) 
B23Q3/183 (EP,US) 
B25B1/103 (EP,US) 
B25B1/2405 (EP,US) 
B25B1/2478 (EP,US) 
B25B1/2484 (EP,US) 
B25B1/2489 (EP,US) 
Y10T29/53961 (EP,US)";"1995-08-22";"1995-08-22";"027130367";
"43";"Portable machining turntable";"BAILEY EARL D [US]";"BAILEY EARL D [US]";"US4678381A";"1982-03-29";"B23Q17/00 
B23Q3/02 
B23Q1/52 
B23Q37/00";"B23Q1/522 (EP,US) 
B23Q37/00 (EP,US) 
Y10T408/545 (EP,US) 
Y10T409/308792 (EP,US) 
Y10T74/14 (EP,US)";"1987-07-07";"1983-10-13";"022167894";
"44";"CLAMPING DEVICE WITH FORCE AMPLIFIER, ESPECIALLY MACHINE VISE";"BERCHTOLD HEINRICH [CH]";"GRESSEL AG [CH]";"US5171004A";"1990-06-07";"B25B1/14 
B25B1/06 
B25B1/10 
B25B1/24";"B25B1/103 (EP,US) 
B25B1/106 (EP,US) 
B25B1/24 (EP,US)";"1992-12-15";"1991-04-18";"006407982";
"45";"Kein Titel verfügbar";"";"";"JPS5253499U 
JPS5528448Y2";"1975-10-16";"B25B1/24 
B25B1/24";"";"1977-04-16 
1980-07-07";"1977-04-16";"028619833";
"46";"Kein Titel verfügbar";"";"";"JPS5261000U";"1975-10-31";"B23Q3/06 
B25B1/24 
B23Q3/06 
B25B1/24";"";"1977-05-04";"1977-05-04";"028627329";
"47";"Kein Titel verfügbar";"";"";"JPS498898U";"1972-04-25";"B25B1/22 
B25B1/24 
B25B1/22 
B25B1/24";"";"1974-01-25";"1974-01-25";"027927486";
"48";"Machine vise";"PAUL PETZOLD";"";"US1511298A";"1923-10-06";"B25B1/22";"B25B1/22 (EP,US) 
Y10T279/1913 (EP,US)";"1924-10-14";"1924-10-14";"024676399";
"49";"Machine vice with force amplifier";"ARNOLD FRANZ [DE]";"FRESMAK SA [ES]";"ES2010615A6";"1987-10-07";"B25B1/06 
B25B1/02 
B25B1/06 
B25B1/10 
B25B1/24 
F16H25/18";"B25B1/106 (EP,US) 
F16H25/183 (EP,US)";"1989-11-16";"1989-04-08";"006337778";
"50";"Kein Titel verfügbar";"";"";"JPH069842U";"1992-02-18";"B23Q3/06 
B23Q3/06";"";"1994-02-08";"1994-02-08";"011640761";
"51";"Kein Titel verfügbar";"";"";"JPH0611966U 
JPH0632301Y2";"1992-07-21";"B25B1/06 
B25B1/24 
B25B1/06 
B25B1/24";"";"1994-02-15 
1994-08-24";"1994-02-15";"013202310";
"52";"Machine vises";"JAMES SELBY";"CLARENCE HUGO FRYE 
ELLIOTT & CO LTD B";"US2903931A";"1955-11-22";"B23Q3/02 
B25B1/10";"B23Q3/02 (EP,US) 
B25B1/10 (EP,US)";"1959-09-15";"1959-09-15";"010917503";
"53";"MECHANICAL VICE";"RUUTOBUIHI KURAUZE";"SAURER ALLMA GMBH";"JPH0367835B2 
JPS61111888A";"1984-10-24";"B25B1/10 
B25B1/24 
B25B1/10 
B25B1/12 
B25B1/24";"B25B1/125 (EP,US) 
B25B1/2405 (EP,US) 
B25B1/2452 (EP,US)";"1986-05-29 
1991-10-24";"1986-04-24";"006248635";
"54";"Kein Titel verfügbar";"";"";"JPH058031Y2 
JPS63169221U";"1987-04-23";"B23P19/00 
B65G21/00 
B65G47/52 
B23P21/00 
B23P19/00 
B23P21/00 
B65G21/00 
B65G47/52";"";"1988-11-04 
1993-03-01";"1988-11-04";"030895297";
"55";"MEASURING IMPLEMENT FOR PERPENDICULARITY OF RECTANGULAR PARALLELEPIPED AND ITS USAGE METHOD";"HANAYAMA NAOKI";"HANAYAMA KANAGATA KOGYOSHO KK";"JP2897009B1 
JPH11271004A";"1998-03-24";"G01B5/24 
G01B3/56 
G01B3/56 
G01B5/24";"";"1999-10-05 
1999-05-31";"1999-05-31";"014169255";
"56";"Kein Titel verfügbar";"";"";"JPH0549226U 
JPH088031Y2";"1991-12-09";"B23Q3/06 
B23Q3/06";"";"1993-06-29 
1996-03-06";"1993-06-29";"014502393";
"57";"Kein Titel verfügbar";"";"";"JPS5347699U 
JPS5530682Y2";"1976-09-28";"B25B1/08 
B25B1/10 
B25B1/08 
B25B1/10";"";"1978-04-22 
1980-07-22";"1978-04-22";"028738666";
"58";"MACHINE VICE";"TAGAMI TETSUO";"TAGAMI TETSUO";"JP2991944B2 
JPH08243867A";"1995-03-08";"B23Q3/06 
B25B1/24 
B23Q3/06 
B25B1/24";"";"1996-09-24 
1999-12-20";"1996-09-24";"012806010";
"59";"밀링머신의 머신바이스";"";"";"KR960020505U";"1994-12-28";"";"";"1996-07-18";"1996-07-18";"060849340";
"60";"Vorrichtung an Maschinenschraubstöcken zum zentrischen Spannen von Werkstücken.";"KRAUSE LUDWIG M DIPL-ING FH [DE]";"SAURER ALLMA GMBH [DE]";"EP0411472A1";"1989-08-03";"B25B1/10 
B23Q3/06 
B25B1/10 
B25B1/24";"B25B1/103 (EP) 
B25B1/106 (EP)";"1991-02-06";"1991-02-06";"006386455";
"61";"Tubular workpiece groover capable of using for general grinding operation";"CARBOROUSO ALESSANDRO [IT]";"NEW TECHNOLOGIES S R L [IT]";"CN1199763C 
CN1419994A";"2001-11-15";"B24B21/16 
B24B21/00 
B24B21/18 
B24B41/00 
B24B9/00";"B24B21/00 (KR) 
B24B21/002 (EP,ES,US) 
B24B21/18 (EP,ES,US) 
B24B41/005 (EP,ES,US) 
B24B9/007 (EP,ES,US)";"2003-05-28 
2005-05-04";"2003-05-15";"011455879";
"62";"Kein Titel verfügbar";"";"";"JPH0627035U";"1992-09-14";"B23Q3/18 
B25B1/24 
B25B11/00 
B23Q3/18 
B25B1/24 
B25B11/00";"";"1994-04-12";"1994-04-12";"013419766";
"63";"Milling machine vises and the like and auxiliary jaws therefor";"CHENETTE EDMOND Z 
CHENETTE LEO E";"";"US3173676A";"1962-10-25";"B25B1/24";"B25B1/24 (EP,US)";"1965-03-16";"1965-03-16";"022875596";
"64";"JAW ADVANCING ALIGNMENT AND ADJUSTING MEANS FOR MACHINE TOOL VISES";"MUGGLI VICTOR V 
MUGGLI LAWRENCE A";"MUGGLI LAWRENCE A";"CA648514A";"";"";"";"1962-09-11";"1962-09-11";"035937161";
"65";"Jaw-advancing, -alignment and -adjusting means for machine-tool vises";"MUGGLI LAWRENCE A 
MUGGLI VICTOR V";"";"US2880638A";"1956-11-23";"B25B1/24";"B25B1/2473 (EP,US)";"1959-04-07";"1959-04-07";"024505026";
"66";"Jaws for a vise";"WILSON ARTHUR O";"NICHOLAS GUST";"US3223405A";"1963-07-24";"B25B1/24";"B25B1/2473 (EP,US)";"1965-12-14";"1965-12-14";"023146276";
"67";"Kein Titel verfügbar";"";"";"JPH0570841U";"1991-10-21";"B23Q3/06 
B23Q3/06";"";"1993-09-24";"1993-09-24";"014100897";
"68";"Kein Titel verfügbar";"";"";"JPH0685722U";"1993-05-26";"B23D55/04 
B23D55/04";"";"1994-12-13";"1994-12-13";"012379443";
"69";"Kein Titel verfügbar";"";"";"JP2570293Y2 
JPH0563764U";"1992-02-12";"B23Q11/08 
B25B1/24 
B23Q11/08 
B25B1/24";"";"1993-08-24 
1998-05-06";"1993-08-24";"011840573";
"70";"Clamping device with mechanical servo mechanism";"RUEGG WALTER [CH]";"GRESSEL AG [CH]";"US4905975A";"1987-09-01";"B25B1/14 
B23B31/02 
B25B1/10 
B25B1/14 
F16H21/54";"B25B1/106 (EP,US) 
B25B1/14 (EP,US) 
F16H21/54 (EP,US)";"1990-03-06";"1988-12-01";"006334920";
"71";"Kein Titel verfügbar";"";"";"JP2601792Y2 
JPH0624840U";"1992-08-28";"B23Q3/18 
B23Q3/18";"";"1994-04-05 
1999-12-06";"1994-04-05";"013314141";
"72";"Machine vise";"OLSON JOHN A";"S P MFG COMPANY";"US1416970A";"1919-03-29";"B25B1/18";"B25B1/18 (EP,US)";"1922-05-23";"1922-05-23";"023096570";
"73";"Kein Titel verfügbar";"";"";"US381890A";"";"";"B25B5/08 (EP,US)";"1888-04-24";"1888-04-24";"002450884";
"74";"Kein Titel verfügbar";"";"";"JPH0588870U 
JPH0650136Y2";"1991-09-19";"B23Q17/00 
B23Q3/06 
B25B1/24 
B23Q17/00 
B23Q3/06 
B25B1/24";"";"1993-12-03 
1994-12-21";"1993-12-03";"013826659";
"75";"Clamping device, in particular a machine vise";"ARNOLD FRANZ 
PREISENHAMMER PETER";"SAURER ALLMA GMBH";"US3941362A";"1973-09-17";"B25B1/14 
B25B1/10 
B25B1/18 
B25B1/24 
F16H25/18";"B25B1/106 (EP,US) 
B25B1/18 (EP,US) 
F16H25/183 (EP,US)";"1976-03-02";"1975-04-11";"006640611";
"76";"STOCK VICE DEVICE OF DRILLING MACHINE";"AIHARA NAOHITO 
KOMIKAWA HIROSHI";"AMADA CO LTD";"JPH068023A";"1992-06-29";"B23B41/00 
B23B41/00";"";"1994-01-18";"1994-01-18";"015920864";
"77";"Indexable jaw universal vise";"WOLFE INGO E [US]";"KURT MFG CO [US]";"US6032940A";"1996-12-23";"B25B1/24 
B25B1/24";"B25B1/2405 (EP,US) 
B25B1/2436 (EP,US) 
B25B1/2447 (EP,US) 
B25B1/2484 (EP,US)";"2000-03-07";"1998-07-02";"027118593";
"78";"PRECISION MACHINE VISE";"ENGIBAROV EDDY [US]";"ENGIBAROV EDDY [US]";"US5056766A";"1989-06-16";"B23Q3/02 
B23Q3/06 
B25B1/08 
B25B1/24 
B25B5/08";"B25B1/08 (EP,US) 
B25B5/08 (EP,US)";"1991-10-15";"1990-12-27";"023446919";
"79";"Kein Titel verfügbar";"";"";"JPH0570865U";"1991-10-08";"B25B1/24 
B25B1/24";"";"1993-09-24";"1993-09-24";"014004044";
"80";"VISE FIXING THE SAW OF SAWING MACHINE";"HAN CHEOL HUI";"WOO SUNG MACHINE IND CO LTD";"KR20040023860A";"2002-09-12";"B23D55/04 
B23D55/04";"B23D51/08 (KR) 
B23D49/02 (KR) 
B23D59/00 (KR)";"2004-03-20";"2004-03-20";"037327162";
"81";"Kein Titel verfügbar";"";"";"JPH05253741A";"1992-03-12";"B23D55/04 
B23D55/04";"";"1993-10-05";"1993-10-05";"012936290";
"82";"MACHINE-VISE.";"CRIPPEN JOHN W [US] 
KELLEMEN HENRY F [US]";"UTICA DROP FORGE & TOOL COMPANY";"US722677A";"1902-04-14";"";"B25B5/101 (EP,US)";"1903-03-17";"1903-03-17";"002791192";
"83";"Milling machine vise";"FREDERICK KOCH";"ASSOCIATED PATENTEES INC";"US2223323A";"1939-10-28";"B25B1/08";"B25B1/08 (EP,US)";"1940-11-26";"1940-11-26";"023164475";
"84";"WORK STOP";"BONAC TOMO [CA]";"BONAC TOMO [CA]";"CA2244077A1";"1998-08-19";"B23Q3/15 
B25B11/00 
B25B1/24";"B25B1/2468 (EP)";"2000-02-19";"2000-02-19";"029409691";
"85";"Universal machine vise";"JOHNSON ENOS H";"";"US1514160A";"1923-04-18";"B25B1/22";"B25B1/22 (EP,US)";"1924-11-04";"1924-11-04";"024537778";
"86";"Multiple air cylinder clamp for vise";"BERNSTEIN LEON M [US]";"KURT MFG CO [US]";"US4949943A";"1989-07-10";"B23Q3/08 
B25B1/10 
B25B1/18 
F15B11/036";"B25B1/106 (EP,US) 
B25B1/18 (EP,US) 
F15B11/0365 (EP,US) 
F15B2211/7056 (EP,US)";"1990-08-21";"1990-08-21";"023490225";
"87";"Machine-vise";"JACOBS JOSEPH H";"JACOBS SPECIALTIES MFG COMPANY";"US1372027A";"1918-02-05";"B25B1/10 
B25B1/12 
B25B1/20 
B25B1/24";"B25B1/103 (EP,US) 
B25B1/125 (EP,US) 
B25B1/20 (EP,US) 
B25B1/2473 (EP,US)";"1921-03-22";"1921-03-22";"022803305";
"88";"CLAMPING FORCE ADJUSTING DEVICE FOR A CLAMP DEVICE";"BERCHTOLD HEINRICH [CH]";"GRESSEL AG [CH]";"US5192062A";"1991-04-17";"B25B1/10 
B23Q3/06 
B25B1/06 
B25B1/10 
B25B1/24";"B25B1/103 (EP,US) 
B25B1/18 (KR) 
B25B1/24 (EP,US)";"1993-03-09";"1992-10-21";"006429795";
"89";"Sine jaw";"HACHEY RUSSELL LEO [US]";"";"US2003213139A1";"2002-05-20";"G01B3/56 
G01B5/24";"G01B5/242 (EP,US)";"2003-11-20";"2003-11-20";"029418185";
"90";"Manually operated clamp effort intensifier for vise";"LENZ JOHN O";"KURT MFG CO";"US4299377A";"1980-02-14";"B23Q3/02 
B25B1/08 
B25B1/10";"B25B1/08 (EP,US) 
B25B1/106 (EP,US)";"1981-11-10";"1981-11-10";"022396340";
"91";"Machine tool vise";"JAMES LAWRENCE W [US]";"JAMES LAWRENCE W [US]";"US5033724A";"1989-10-06";"B23Q3/02 
B25B1/24";"B25B1/2426 (EP,US)";"1991-07-23";"1991-04-06";"023657935";
"92";"Two station, single action vise";"BERNSTEIN LEON M [US]";"KURT MFG CO [US]";"US4934674A";"1989-03-22";"B25B1/20 
B25B1/10 
B25B1/24";"B25B1/103 (EP,US) 
B25B1/2473 (EP,US) 
B25B1/2478 (EP,US) 
Y10S269/906 (EP,US)";"1990-06-19";"1990-06-19";"023276862";
"93";"VISE DEVICE OF WORKING MACHINE";"KAKIMOTO KAZUHIRO 
AKAMATSU TATSUYA";"RYOBI LTD";"JPH10225905A";"1997-02-17";"B27C5/06 
B27F1/00 
B27C5/06 
B27F1/00";"";"1998-08-25";"1998-08-25";"012349710";
"94";"Hydraulic machine vise having cylinder-advanced spring-retracted jawoperating screw";"OLSON ELMER T";"WILLIAM J RAWITZER";"US2708381A";"1953-07-20";"B25B1/18";"B25B1/18 (EP,US)";"1955-05-17";"1955-05-17";"027004390";
"95";"기계력증폭장치를갖춘클램프장치";"";"";"KR100397294B1 
KR970069246A";"1996-04-18";"B25B1/10 
B25B17/00 
F16H25/18 
B25B1/00";"B25B1/00 (KR) 
B25B1/106 (EP,US) 
F16H25/18 (EP,US)";"1997-11-07 
2003-12-31";"1997-10-02";"007791646";
