publication_number,title,url,code,number_of_cited_by
US-2006244107-A1,"Semiconductor device, manufacturing method, and electronic device",https://patents.google.com/patent/US20060244107A1,H01L29/7869,4297
US-6177931-B1,"Systems and methods for displaying and recording control interface with television programs, video, advertising information and program scheduling information",https://patents.google.com/patent/US6177931B1,H04N21/44224,4293
US-2007108446-A1,Semiconductor device and manufacturing method thereof,https://patents.google.com/patent/US20070108446A1,H01L27/1225,4278
US-5731856-A,Methods for forming liquid crystal displays including thin film transistors and gate pads having a particular structure,https://patents.google.com/patent/US5731856A,G02F1/13458,4264
US-7000818-B2,Surgical stapling instrument having separate distinct closing and firing systems,https://patents.google.com/patent/US7000818B2,A61B2017/07214,4261
US-7061014-B2,"Natural-superlattice homologous single crystal thin film, method for preparation thereof, and device using said single crystal thin film",https://patents.google.com/patent/US7061014B2,C30B23/02,4236
US-6727522-B1,Transistor and semiconductor device,https://patents.google.com/patent/US6727522B1,H01L29/22,4222
US-2006108636-A1,Amorphous oxide and field effect transistor,https://patents.google.com/patent/US20060108636A1,H01L29/78696,4217
US-2006110867-A1,Field effect transistor manufacturing method,https://patents.google.com/patent/US20060110867A1,H01L29/78693,4172
US-6563174-B2,Thin film transistor and matrix display device,https://patents.google.com/patent/US6563174B2,H01L29/66969,4171
US-2002056838-A1,"Thin film transistor array, method of producing the same, and display panel using the same",https://patents.google.com/patent/US20020056838A1,H01L29/7869,4170
US-2006113565-A1,Electric elements and circuits utilizing amorphous oxides,https://patents.google.com/patent/US20060113565A1,H01L29/7869,4170
US-4179337-A,Non-immunogenic polypeptides,https://patents.google.com/patent/US4179337A,C12N11/089,4169
US-5744864-A,Semiconductor device having a transparent switching element,https://patents.google.com/patent/US5744864A,H01L21/18,4139
US-2008038882-A1,Thin-film device and method of fabricating the same,https://patents.google.com/patent/US20080038882A1,H01L29/78696,4136
US-2006113536-A1,Display,https://patents.google.com/patent/US20060113536A1,H01L29/04,4133
US-2005199959-A1,Semiconductor device,https://patents.google.com/patent/US20050199959A1,H01L29/7869,4130
US-2007090365-A1,"Field-effect transistor including transparent oxide and light-shielding member, and display utilizing the transistor",https://patents.google.com/patent/US20070090365A1,H01L29/78633,4121
US-5633425-A,Transgenic non-human animals capable of producing heterologous antibodies,https://patents.google.com/patent/US5633425A,C12N2800/206,4119
US-2007152217-A1,Pixel structure of active matrix organic light-emitting diode and method for fabricating the same,https://patents.google.com/patent/US20070152217A1,H01L29/7869,4117
US-2005017302-A1,Transistor including a deposited channel region having a doped portion,https://patents.google.com/patent/US20050017302A1,H01L29/1054,4114
US-2006113539-A1,Field effect transistor,https://patents.google.com/patent/US20060113539A1,H01L29/78693,4114
US-2006208977-A1,"Semiconductor device, and display device, driving method and electronic apparatus thereof",https://patents.google.com/patent/US20060208977A1,G09G3/3291,4109
US-2007052025-A1,Oxide semiconductor thin film transistor and method of manufacturing the same,https://patents.google.com/patent/US20070052025A1,H01L29/7869,4107
US-2006113549-A1,Light-emitting device,https://patents.google.com/patent/US20060113549A1,H01L29/66969,4106
US-7732819-B2,Semiconductor device and manufacturing method thereof,https://patents.google.com/patent/US7732819B2,H01L29/78693,4105
US-2008128689-A1,Flat panel displays comprising a thin-film transistor having a semiconductive oxide in its channel and methods of fabricating the same for use in flat panel displays,https://patents.google.com/patent/US20080128689A1,H01L29/7869,4103
US-6294274-B1,Oxide thin film,https://patents.google.com/patent/US6294274B1,C03C2217/23,4099
US-2007187760-A1,Thin film transistor including low resistance conductive thin films and manufacturing method thereof,https://patents.google.com/patent/US20070187760A1,H01L29/66742,4097
US-7064346-B2,Transistor and semiconductor device,https://patents.google.com/patent/US7064346B2,H01L27/15,4097
US-2004127038-A1,Transparent oxide semiconductor thin film transistors,https://patents.google.com/patent/US20040127038A1,H01L21/02631,4087
US-2006108529-A1,Sensor and image pickup device,https://patents.google.com/patent/US20060108529A1,H01L29/7869,4084
US-2008073653-A1,Semiconductor apparatus and method of manufacturing the same,https://patents.google.com/patent/US20080073653A1,H01L29/7869,4080
US-7211825-B2,Indium oxide-based thin film transistors and circuits,https://patents.google.com/patent/US7211825B2,H01L29/7869,4078
US-6783524-B2,Robotic surgical tool with ultrasound cauterizing and cutting instrument,https://patents.google.com/patent/US6783524B2,A61B17/320092,4076
US-3773919-A,Polylactide-drug mixtures,https://patents.google.com/patent/US3773919A,A61K9/1647,4074
US-7323356-B2,"LnCuO(S,Se,Te)monocrystalline thin film, its manufacturing method, and optical device or electronic device using the monocrystalline thin film",https://patents.google.com/patent/US7323356B2,H01L21/02483,4061
US-7402506-B2,Methods of making thin film transistors comprising zinc-oxide-based semiconductor materials and transistors made thereby,https://patents.google.com/patent/US7402506B2,H01L21/02554,4058
US-7411209-B2,Field-effect transistor and method for manufacturing the same,https://patents.google.com/patent/US7411209B2,H01L21/3003,4056
US-2003218222-A1,Transistor structures and methods for making the same,https://patents.google.com/patent/US20030218222A1,H01L29/45,4054
US-2006043377-A1,Semiconductor device,https://patents.google.com/patent/US20060043377A1,H01L29/7869,4049
US-2008182358-A1,Process for atomic layer deposition,https://patents.google.com/patent/US20080182358A1,C23C16/407,4046
US-2007187678-A1,Semiconductor device including active layer made of zinc oxide with controlled orientations and manufacturing method thereof,https://patents.google.com/patent/US20070187678A1,H01L29/4908,4041
US-7049190-B2,"Method for forming ZnO film, method for forming ZnO semiconductor layer, method for fabricating semiconductor device, and semiconductor device",https://patents.google.com/patent/US7049190B2,H01L29/7869,4040
US-2006197092-A1,System and method for forming conductive material on a substrate,https://patents.google.com/patent/US20060197092A1,H01L29/7869,4040
US-2007172591-A1,METHOD OF FABRICATING ZnO FILM AND THIN FILM TRANSISTOR ADOPTING THE ZnO FILM,https://patents.google.com/patent/US20070172591A1,C23C16/407,4038
US-5625126-A,Transgenic non-human animals for producing heterologous antibodies,https://patents.google.com/patent/US5625126A,A01K2217/05,4035
US-2004038446-A1,"Method for forming ZnO film, method for forming ZnO semiconductor layer, method for fabricating semiconductor device, and semiconductor device",https://patents.google.com/patent/US20040038446A1,H01L29/7869,4033
US-2006170111-A1,"Semiconductor device, electronic device, and method of manufacturing semiconductor device",https://patents.google.com/patent/US20060170111A1,H01L27/124,4028
US-2008106191-A1,"Electronic device, organic electroluminescence device, and organic thin film semiconductor device",https://patents.google.com/patent/US20080106191A1,H10K50/844,4027
US-2007046191-A1,Organic electroluminescent display device and manufacturing method thereof,https://patents.google.com/patent/US20070046191A1,H01L27/1248,4024
US-2006091793-A1,Methods and displays utilizing integrated zinc oxide row and column drivers in conjunction with organic light emitting diodes,https://patents.google.com/patent/US20060091793A1,H01L29/7869,4023
US-2007054507-A1,Method of fabricating oxide semiconductor device,https://patents.google.com/patent/US20070054507A1,H01L21/02675,4023
US-2006238135-A1,Semiconductor device and display device,https://patents.google.com/patent/US20060238135A1,G09G3/30,4021
JP-2004103957-A,Transparent thin film field effect transistor using homologous thin film as active layer,https://patents.google.com/patent/JP2004103957A,H01L29/7869,4019
US-7297977-B2,Semiconductor device,https://patents.google.com/patent/US7297977B2,H01L29/7869,4019
US-2008258141-A1,"Thin film transistor, method of manufacturing the same, and flat panel display having the same",https://patents.google.com/patent/US20080258141A1,H01L29/78621,4018
US-7282782-B2,Combined binary oxide semiconductor device,https://patents.google.com/patent/US7282782B2,H01L29/78648,4017
US-2009134399-A1,Semiconductor Device and Method for Manufacturing the Same,https://patents.google.com/patent/US20090134399A1,H05B33/10,4015
US-2009114910-A1,Semiconductor device,https://patents.google.com/patent/US20090114910A1,H01L29/7869,4012
US-7385224-B2,Thin film transistor having an etching protection film and manufacturing method thereof,https://patents.google.com/patent/US7385224B2,H01L29/41733,4011
US-2008129195-A1,Color el display and method for producing the same,https://patents.google.com/patent/US20080129195A1,H10K59/38,4011
US-2008006877-A1,Method of Forming a Solution Processed Device,https://patents.google.com/patent/US20080006877A1,H01L21/312,4007
US-2009073325-A1,"Semiconductor device and method for manufacturing the same, and electric device",https://patents.google.com/patent/US20090073325A1,H01L21/288,4007
US-2007024187-A1,Organic light emitting display (OLED) and its method of fabrication,https://patents.google.com/patent/US20070024187A1,H05B33/10,4007
US-2006169973-A1,"Semiconductor device, electronic device, and method of manufacturing semiconductor device",https://patents.google.com/patent/US20060169973A1,H01L27/1292,4004
US-2008083950-A1,Fused nanocrystal thin film semiconductor and method,https://patents.google.com/patent/US20080083950A1,H01L29/66969,4002
US-2009152506-A1,"Process for producing oriented inorganic crystalline film, and semiconductor device using the oriented inorganic crystalline film",https://patents.google.com/patent/US20090152506A1,H01L29/7869,4000
US-5545807-A,Production of antibodies from transgenic animals,https://patents.google.com/patent/US5545807A,A01K67/0278,3998
US-2008038929-A1,Method of dry etching oxide semiconductor film,https://patents.google.com/patent/US20080038929A1,H01L31/022483,3995
US-7501293-B2,Semiconductor device in which zinc oxide is used as a semiconductor material and method for manufacturing the semiconductor device,https://patents.google.com/patent/US7501293B2,H01L21/02565,3991
US-2008296568-A1,Thin film transistors and methods of manufacturing the same,https://patents.google.com/patent/US20080296568A1,H01L29/78696,3988
US-2008224133-A1,Thin film transistor and organic light-emitting display device having the thin film transistor,https://patents.google.com/patent/US20080224133A1,H01L21/02579,3988
US-2008258140-A1,Thin film transistor including selectively crystallized channel layer and method of manufacturing the thin film transistor,https://patents.google.com/patent/US20080258140A1,H01L21/02565,3984
US-2008166834-A1,Thin film etching method,https://patents.google.com/patent/US20080166834A1,H01L29/7869,3983
US-7105868-B2,High-electron mobility transistor with zinc oxide,https://patents.google.com/patent/US7105868B2,H01L29/22,3980
US-2008050595-A1,Transparent conductive film and method for manufacturing the same,https://patents.google.com/patent/US20080050595A1,C23C14/34,3977
US-2008258143-A1,Thin film transitor substrate and method of manufacturing the same,https://patents.google.com/patent/US20080258143A1,H01L29/78618,3974
US-2009152541-A1,"Electronic device, semiconductor device and manufacturing method thereof",https://patents.google.com/patent/US20090152541A1,G02F1/1368,3974
US-2006035452-A1,Transparent oxide semiconductor thin film transistor,https://patents.google.com/patent/US20060035452A1,H01L21/02631,3971
US-2009068773-A1,Method for fabricating pixel structure of active matrix organic light-emitting diode,https://patents.google.com/patent/US20090068773A1,H10K59/38,3968
US-2002132454-A1,"Method of forming crystalline semiconductor thin film on base substrate, lamination formed with crystalline semiconductor thin film and color filter",https://patents.google.com/patent/US20020132454A1,C23C14/58,3963
US-2007272922-A1,ZnO thin film transistor and method of forming the same,https://patents.google.com/patent/US20070272922A1,H01L29/7869,3955
US-2001046027-A1,Liquid crystal display having stripe-shaped common electrodes formed above plate-shaped pixel electrodes,https://patents.google.com/patent/US20010046027A1,G02F1/136227,3947
US-2006228974-A1,Methods of making displays,https://patents.google.com/patent/US20060228974A1,H01L29/7869,3945
US-2006231882-A1,"Low voltage flexible organic/transparent transistor for selective gas sensing, photodetecting and CMOS device applications",https://patents.google.com/patent/US20060231882A1,H01L29/4908,3940
US-2008254569-A1,Semiconductor Device,https://patents.google.com/patent/US20080254569A1,H01L29/7869,3934
US-5661016-A,Transgenic non-human animals capable of producing heterologous antibodies of various isotypes,https://patents.google.com/patent/US5661016A,C07K16/00,3926
US-2009280600-A1,Amorphous oxide and thin film transistor,https://patents.google.com/patent/US20090280600A1,H01L27/1225,3896
US-2009278122-A1,Amorphous oxide and thin film transistor,https://patents.google.com/patent/US20090278122A1,H01L21/02554,3891
US-2008258139-A1,Structure with transistor,https://patents.google.com/patent/US20080258139A1,H01L29/78603,3886
US-2007252928-A1,"Structure, transmission type liquid crystal display, reflection type display and manufacturing method thereof",https://patents.google.com/patent/US20070252928A1,G02F1/1362,3884
JP-2000150900-A,Transistor and semiconductor device,https://patents.google.com/patent/JP2000150900A,H01S5/0261,3876
US-2010109002-A1,Oxynitride semiconductor,https://patents.google.com/patent/US20100109002A1,H01L29/247,3872
US-2006292777-A1,Method for making electronic devices using metal oxide nanoparticles,https://patents.google.com/patent/US20060292777A1,H01L21/02565,3869
US-7453087-B2,Thin-film transistor and thin-film diode having amorphous-oxide semiconductor layer,https://patents.google.com/patent/US7453087B2,H01L29/7869,3868
US-7453065-B2,Sensor and image pickup device,https://patents.google.com/patent/US7453065B2,H01L27/14601,3855
US-2006284171-A1,Methods of making thin film transistors comprising zinc-oxide-based semiconductor materials and transistors made thereby,https://patents.google.com/patent/US20060284171A1,H01L21/02472,3847
JP-2003086808-A,Thin film transistor and matrix display device,https://patents.google.com/patent/JP2003086808A,H01L29/78603,3833
US-5704534-A,Articulation assembly for surgical instruments,https://patents.google.com/patent/US5704534A,A61B2017/00535,3832
US-2010092800-A1,Substrate for growing wurtzite type crystal and method for manufacturing the same and semiconductor device,https://patents.google.com/patent/US20100092800A1,H01L33/02,3828
US-2010065844-A1,Thin film transistor and method of manufacturing thin film transistor,https://patents.google.com/patent/US20100065844A1,H01L29/78606,3828
JP-2002076356-A,Semiconductor device,https://patents.google.com/patent/JP2002076356A,H01L29/78618,3810
US-2006284172-A1,Thin film transistor having oxide semiconductor layer and manufacturing method thereof,https://patents.google.com/patent/US20060284172A1,H01L27/1225,3809
JP-2002289859-A,Thin film transistor,https://patents.google.com/patent/JP2002289859A,H01L29/7869,3784
US-7462862-B2,Transistor using an isovalent semiconductor oxide as the active channel layer,https://patents.google.com/patent/US7462862B2,H01L29/78648,3780
US-2007287296-A1,Dry etching method for oxide semiconductor film,https://patents.google.com/patent/US20070287296A1,H01L29/7869,3778
US-3845770-A,Osmatic dispensing device for releasing beneficial agent,https://patents.google.com/patent/US3845770A,A61F9/0017,3776
US-7468304-B2,Method of fabricating oxide semiconductor device,https://patents.google.com/patent/US7468304B2,H01L21/428,3769
JP-2000044236-A,Article having transparent conductive oxide thin film and method for producing the same,https://patents.google.com/patent/JP2000044236A,H01L29/66969,3742
JP-2004273614-A,Semiconductor device and method of manufacturing the same,https://patents.google.com/patent/JP2004273614A,,3721
US-4965188-A,"Process for amplifying, detecting, and/or cloning nucleic acid sequences using a thermostable enzyme",https://patents.google.com/patent/US4965188A,C12N9/1252,3718
US-6850252-B1,Intelligent electronic appliance system and method,https://patents.google.com/patent/US6850252B1,H04N21/44224,3714
JP-2004273732-A,Active matrix substrate and manufacturing method thereof,https://patents.google.com/patent/JP2004273732A,,3675
US-4522811-A,Serial injection of muramyldipeptides and liposomes enhances the anti-infective activity of muramyldipeptides,https://patents.google.com/patent/US4522811A,A61K38/14,3673
US-7845537-B2,Surgical instrument having recording capabilities,https://patents.google.com/patent/US7845537B2,A47J43/046,3672
US-7422139-B2,Motor-driven surgical cutting fastening instrument with tactile position feedback,https://patents.google.com/patent/US7422139B2,A61B2017/00734,3669
US-2006197753-A1,Multi-functional hand-held device,https://patents.google.com/patent/US20060197753A1,G06F3/04886,3644
US-4800159-A,"Process for amplifying, detecting, and/or cloning nucleic acid sequences",https://patents.google.com/patent/US4800159A,C12Q1/6858,3638
JP-2003086000-A,Semiconductor memory device and test method therefor,https://patents.google.com/patent/JP2003086000A,,3625
US-7663607-B2,Multipoint touchscreen,https://patents.google.com/patent/US7663607B2,G06F2203/04105,3610
US-5865361-A,Surgical stapling apparatus,https://patents.google.com/patent/US5865361A,A61B2090/0808,3609
US-5565332-A,Production of chimeric antibodies - a combinatorial approach,https://patents.google.com/patent/US5565332A,C07K16/241,3606
US-5465895-A,Surgical stapler instrument,https://patents.google.com/patent/US5465895A,A61B2017/07285,3603
US-5143854-A,Large scale photolithographic solid phase synthesis of polypeptides and receptor binding screening thereof,https://patents.google.com/patent/US5143854A,B01J2219/00315,3601
US-6175752-B1,Analyte monitoring device and methods of use,https://patents.google.com/patent/US6175752B1,A61B5/7405,3581
US-2006026521-A1,Gestures for touch sensitive input devices,https://patents.google.com/patent/US20060026521A1,G06F3/04883,3572
US-5948061-A,"Method of delivery, targeting, and measuring advertising over networks",https://patents.google.com/patent/US5948061A,G06Q30/0264,3561
WO-2004114391-A1,"Semiconductor device, its manufacturing method, and electronic device",https://patents.google.com/patent/WO2004114391A1,H01L29/66969,3556
US-7670334-B2,Surgical instrument having an articulating end effector,https://patents.google.com/patent/US7670334B2,A61B2017/003,3555
US-5383880-A,Endoscopic surgical system with sensing means,https://patents.google.com/patent/US5383880A,A61B2017/07214,3555
EP-2226847-A2,Amorphous oxide and thin film transistor,https://patents.google.com/patent/EP2226847A2,H01L21/02554,3553
JP-2007123861-A,Semiconductor device and manufacturing method thereof,https://patents.google.com/patent/JP2007123861A,,3531
US-5821337-A,Immunoglobulin variants,https://patents.google.com/patent/US5821337A,C07K16/2809,3525
US-2007175955-A1,Surgical cutting and fastening instrument with closure trigger locking mechanism,https://patents.google.com/patent/US20070175955A1,A61B17/07207,3513
US-7380695-B2,Surgical stapling instrument having a single lockout mechanism for prevention of firing,https://patents.google.com/patent/US7380695B2,A61B17/07207,3494
US-5312023-A,Self contained gas powered surgical apparatus,https://patents.google.com/patent/US5312023A,A61B2017/2927,3476
US-5389098-A,Surgical device for stapling and/or fastening body tissues,https://patents.google.com/patent/US5389098A,A61B2017/07278,3455
US-7464849-B2,Electro-mechanical surgical instrument with closure system and anvil alignment components,https://patents.google.com/patent/US7464849B2,A61B2017/0038,3454
US-5948040-A,Travel reservation information and planning system,https://patents.google.com/patent/US5948040A,G09B29/106,3453
US-4799156-A,Interactive market management system,https://patents.google.com/patent/US4799156A,G06Q10/087,3443
US-5794207-A,Method and apparatus for a cryptographically assisted commercial network system designed to facilitate buyer-driven conditional purchase offers,https://patents.google.com/patent/US5794207A,G06Q30/06,3439
US-7404508-B2,Surgical stapling and cutting device,https://patents.google.com/patent/US7404508B2,A61B2017/07271,3430
US-5632432-A,Surgical instrument,https://patents.google.com/patent/US5632432A,A61B2017/00535,3430
US-7380696-B2,Articulating surgical stapling instrument incorporating a two-piece E-beam firing mechanism,https://patents.google.com/patent/US7380696B2,A61B17/32,3380
US-5624821-A,Antibodies with altered effector functions,https://patents.google.com/patent/US5624821A,C07K16/00,3376
US-4655771-B1,Prosthesis comprising an expansible or contractile tubular body,https://patents.google.com/patent/US4655771B1,A61F2/90,3358
US-4655771-A,Prosthesis comprising an expansible or contractile tubular body,https://patents.google.com/patent/US4655771A,A61F2230/005,3358
US-6981628-B2,Surgical instrument with a lateral-moving articulation control,https://patents.google.com/patent/US6981628B2,A61B2017/320052,3335
US-5792135-A,Articulated surgical instrument for performing minimally invasive surgery with enhanced dexterity and sensitivity,https://patents.google.com/patent/US5792135A,A61B17/00234,3327
US-5848396-A,Method and apparatus for determining behavioral profile of a computer user,https://patents.google.com/patent/US5848396A,H04L67/535,3327
WO-9201047-A1,Methods for producing members of specific binding pairs,https://patents.google.com/patent/WO1992001047A1,C12N15/73,3325
US-6180370-B1,Humanized immunoglobulins and methods of making the same,https://patents.google.com/patent/US6180370B1,A61P31/12,3310
US-6988649-B2,Surgical stapling instrument having a spent cartridge lockout,https://patents.google.com/patent/US6988649B2,A61B17/07207,3306
US-5247190-A,Electroluminescent devices,https://patents.google.com/patent/US5247190A,C09K11/06,3304
US-5433721-A,Endoscopic instrument having a torsionally stiff drive shaft for applying fasteners to tissue,https://patents.google.com/patent/US5433721A,A61B17/1155,3293
US-4769292-A,Electroluminescent device with modified thin film luminescent zone,https://patents.google.com/patent/US4769292A,H05B33/28,3272
US-6978921-B2,Surgical stapling instrument incorporating an E-beam firing mechanism,https://patents.google.com/patent/US6978921B2,A61B2017/07214,3270
US-8210411-B2,Motor-driven surgical cutting instrument,https://patents.google.com/patent/US8210411B2,A61B2017/00398,3267
US-6029195-A,System for customized electronic identification of desirable objects,https://patents.google.com/patent/US6029195A,H04N21/44224,3258
US-3916899-A,Osmotic dispensing device with maximum and minimum sizes for the passageway,https://patents.google.com/patent/US3916899A,A61K9/0004,3250
US-5034506-A,Uncharged morpholino-based polymers having achiral intersubunit linkages,https://patents.google.com/patent/US5034506A,C08G75/20,3249
US-8393514-B2,Selectively orientable implantable fastener cartridge,https://patents.google.com/patent/US8393514B2,A61B2017/07228,3239
US-6010054-A,Linear stapling instrument with improved staple cartridge,https://patents.google.com/patent/US6010054A,A61B2017/2927,3226
US-2003229900-A1,Method and apparatus for browsing using multiple coordinated device sets,https://patents.google.com/patent/US20030229900A1,H04N21/41265,3223
US-2014263552-A1,Staple cartridge tissue thickness sensor system,https://patents.google.com/patent/US20140263552A1,A61B2017/00221,3222
US-5597107-A,Surgical stapler instrument,https://patents.google.com/patent/US5597107A,A61B17/07207,3208
US-5624452-A,Hemostatic surgical cutting or stapling instrument,https://patents.google.com/patent/US5624452A,A61B2018/126,3198
US-6032849-A,Surgical stapler,https://patents.google.com/patent/US6032849A,A61B2017/00473,3178
JP-H08264794-A,"Metal oxide semiconductor device in which a pn junction is formed with a thin film transistor made of a metal oxide semiconductor such as cuprous oxide, and methods for manufacturing the same",https://patents.google.com/patent/JPH08264794A,H01L29/78696,3178
JP-H11505377-A,Semiconductor device,https://patents.google.com/patent/JPH11505377A,G02F1/1368,3164
US-4676980-A,Target specific cross-linked heteroantibodies,https://patents.google.com/patent/US4676980A,C07K16/468,3127
US-4548202-A,Mesh tissue fasteners,https://patents.google.com/patent/US4548202A,A61B17/122,3126
JP-S60198861-A,thin film transistor,https://patents.google.com/patent/JPS60198861A,H01L29/24,3113
US-7980443-B2,End effectors for a surgical cutting and stapling instrument,https://patents.google.com/patent/US7980443B2,A61B2017/07285,3111
US-6241139-B1,Surgical stapling apparatus,https://patents.google.com/patent/US6241139B1,A61B2090/0808,3110
US-5205459-A,Surgical anastomosis stapling instrument,https://patents.google.com/patent/US5205459A,A61B17/1155,3105
JP-H05251705-A,Thin film transistor,https://patents.google.com/patent/JPH05251705A,,3100
US-5740549-A,Information and advertising distribution system and method,https://patents.google.com/patent/US5740549A,G06Q30/0243,3097
US-9072535-B2,Surgical stapling instruments with rotatable staple deployment arrangements,https://patents.google.com/patent/US9072535B2,A61B2017/07214,3092
US-5084057-A,Apparatus and method for applying surgical clips in laparoscopic or endoscopic procedures,https://patents.google.com/patent/US5084057A,A61B17/1285,3091
US-6506559-B1,Genetic inhibition by double-stranded RNA,https://patents.google.com/patent/US6506559B1,C12N2310/53,3071
US-2003093790-A1,"Audio and video program recording, editing and playback systems using metadata",https://patents.google.com/patent/US20030093790A1,H04N21/44224,3063
US-6443973-B1,"Electromechanical driver device for use with anastomosing, stapling, and resecting instruments",https://patents.google.com/patent/US6443973B1,A61B2017/00039,3059
US-5825352-A,Multiple fingers contact sensing method for emulating mouse buttons and mouse operations on a touch sensor pad,https://patents.google.com/patent/US5825352A,G06F3/04883,3048
US-5735848-A,Electrosurgical stapling device,https://patents.google.com/patent/US5735848A,A61B2018/00404,3044
US-6029141-A,Internet-based customer referral system,https://patents.google.com/patent/US6029141A,G06Q30/0203,3042
JP-S63239117-A,Compound having hexagonal layered structure represented by InGaZn↓2O↓5 and method for producing the same,https://patents.google.com/patent/JPS63239117A,,3014
US-5693761-A,Polynucleotides encoding improved humanized immunoglobulins,https://patents.google.com/patent/US5693761A,A61P37/00,3013
US-2009090763-A1,Powered surgical stapling device,https://patents.google.com/patent/US20090090763A1,A61B2090/067,3003
JP-S63265818-A,Compound having a hexagonal layered structure represented by InGaZn↓7O↓1↓0 and its manufacturing method,https://patents.google.com/patent/JPS63265818A,,3002
US-5762255-A,Surgical instrument with improvement safety lockout mechanisms,https://patents.google.com/patent/US5762255A,A61B17/2909,2996
JP-S63210022-A,Compound having hexagonal layered structure represented by InGaZn↓3O↓6 and method for producing the same,https://patents.google.com/patent/JPS63210022A,,2992
JP-S63210024-A,Compound having a hexagonal layered structure represented by InGaZn↓5O↓8 and its manufacturing method,https://patents.google.com/patent/JPS63210024A,,2992
US-7753245-B2,Surgical stapling instruments,https://patents.google.com/patent/US7753245B2,A61B2017/2913,2990
JP-S63210023-A,Compound having a hexagonal layered structure represented by InGaZn↓4O↓7 and its manufacturing method,https://patents.google.com/patent/JPS63210023A,,2989
US-5754939-A,System for generation of user profiles for a system for customized electronic identification of desirable objects,https://patents.google.com/patent/US5754939A,G06Q20/306,2988
JP-S63215519-A,Compound having hexagonal layered structure represented by InGaZn↓6O↓9 and method for producing the same,https://patents.google.com/patent/JPS63215519A,,2988
US-7644848-B2,Electronic lockouts and surgical instrument including same,https://patents.google.com/patent/US7644848B2,A61B2017/2923,2987
US-5648260-A,DNA encoding antibodies with altered effector functions,https://patents.google.com/patent/US5648260A,C07K16/00,2974
US-5307976-A,Linear stapling mechanism with cutting means,https://patents.google.com/patent/US5307976A,A61B2017/07271,2967
US-5129570-A,Surgical stapler,https://patents.google.com/patent/US5129570A,A61B2017/2945,2966
US-7143923-B2,Surgical stapling instrument having a firing lockout for an unclosed anvil,https://patents.google.com/patent/US7143923B2,A61B2017/07214,2966
US-5042707-A,"Intravascular stapler, and method of operating same",https://patents.google.com/patent/US5042707A,A61B2017/2927,2964
US-5716366-A,Hemostatic surgical cutting or stapling instrument,https://patents.google.com/patent/US5716366A,A61B2017/00504,2964
US-5724521-A,Method and apparatus for providing electronic advertisements to end users in a consumer best-fit pricing manner,https://patents.google.com/patent/US5724521A,G06Q30/0601,2961
US-7143925-B2,Surgical instrument incorporating EAP blocking lockout mechanism,https://patents.google.com/patent/US7143925B2,A61B2017/2927,2958
